用例ID,业务模块,优先级,用例类型,用例标题,前置条件,测试步骤,预期结果,关联接口
CB_TC_001,用户模块,P0,功能,正常注册成功,数据库无同名用户,1.打开注册页 2.输入合法username/password/nickname 3.提交,注册成功，提示『注册成功』，数据库新增用户记录,POST /api/users/register
CB_TC_002,用户模块,P0,异常,用户名重复注册,已存在用户 zhangsan,1.用 zhangsan 作为用户名注册 2.提交,注册失败，提示用户名已存在，不产生新记录,POST /api/users/register
CB_TC_003,用户模块,P0,异常,密码长度校验,注册页可输入,1.输入长度小于6位的密码 2.提交,注册失败或提示密码长度不足,POST /api/users/register
CB_TC_004,用户模块,P1,边界,用户名超长,注册页可输入,1.输入超过30字符的用户名 2.提交,注册失败，提示用户名超长,POST /api/users/register
CB_TC_005,用户模块,P1,异常,用户名含非法字符,注册页可输入,1.输入含空格/特殊符号的用户名 2.提交,注册失败或用户名被裁剪，不允许非法字符入库,POST /api/users/register
CB_TC_006,用户模块,P1,功能,注册昵称必填,注册页可输入,1.不填昵称只填其余字段 2.提交,注册失败，提示昵称不能为空,POST /api/users/register
CB_TC_007,用户模块,P2,边界,手机号格式校验,注册页可输入,1.输入10位或含字母的手机号 2.提交,注册失败，提示手机号格式错误（需11位数字）,POST /api/users/register
CB_TC_008,用户模块,P2,边界,学校字段超长,注册页可输入,1.输入超过50字符的学校名 2.提交,注册失败，提示学校名超长,POST /api/users/register
CB_TC_009,用户模块,P0,功能,正常登录,已注册用户 zhangsan/123456,1.输入正确用户名密码 2.登录,登录成功，返回用户信息且不含password字段,POST /api/users/login
CB_TC_010,用户模块,P0,异常,密码错误登录,已注册用户,1.输入正确用户名+错误密码 2.登录,登录失败，提示用户名或密码错误,POST /api/users/login
CB_TC_011,用户模块,P0,异常,用户名不存在登录,无该用户,1.输入不存在的用户名 2.登录,登录失败，提示用户名或密码错误,POST /api/users/login
CB_TC_012,用户模块,P0,异常,空参数登录,登录页,1.用户名或密码为空 2.登录,登录失败，不产生空值查询异常,POST /api/users/login
CB_TC_013,用户模块,P0,异常,已禁用用户登录,存在status=0被禁用用户,1.用被禁用用户登录,登录失败，提示账号已被禁用,POST /api/users/login
CB_TC_014,用户模块,P1,安全,登录态保持,登录成功,1.登录后携带Cookie/Session访问需登录接口,请求成功，说明Session登录态生效,GET /api/users/me
CB_TC_015,用户模块,P1,功能,密码大小写敏感,注册时密码含大小写,1.登录时输入大小写不一致的密码,登录失败，密码区分大小写,POST /api/users/login
CB_TC_016,用户模块,P1,功能,正常登出,已登录用户,1.调用登出接口 2.再访问需登录接口,登出成功，之后访问需登录接口被拦截,POST /api/users/logout
CB_TC_017,用户模块,P2,边界,未登录登出,未登录状态,1.直接调用登出接口,接口幂等返回成功，不抛异常,POST /api/users/logout
CB_TC_018,用户模块,P0,功能,获取当前登录用户信息,已登录用户,1.调用 /me,返回当前用户信息，不含password,GET /api/users/me
CB_TC_019,用户模块,P0,安全,未登录访问个人信息,未登录,1.调用 /me,请求被拦截，返回未登录错误,GET /api/users/me
CB_TC_020,用户模块,P0,功能,正常修改个人信息,已登录用户,1.修改昵称/头像/手机号/学校 2.提交,修改成功，重新查询个人信息为新值,PUT /api/users/me
CB_TC_021,用户模块,P1,异常,修改非法手机号,已登录用户,1.将手机号改为10位 2.提交,修改失败，提示手机号格式错误,PUT /api/users/me
CB_TC_022,用户模块,P2,边界,头像URL超长,已登录用户,1.输入超过255字符的URL 2.提交,修改失败，提示头像URL超长,PUT /api/users/me
CB_TC_023,用户模块,P2,异常,修改登录用户名,已登录用户,1.尝试通过个人信息接口修改username,修改被忽略或拒绝，用户名不可被普通修改,PUT /api/users/me
